id,station,state,city,country,address,type,latitude,longitude,company,status,create_at,update_at
352,"Sangeetha Mobiles, HBR Layout",Gujarat,bengaluru,India,"No 54, 80 Feet Main Road, Next to Muthoot Finance, HBR Layout,",6,13.025618,77.629122,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
353,"Hyatt Raipur",Maharashtra,raipur,India,"National Highway 6, Jivan Vihar, Labhandih, Chhattisgarh",6,21.239994,81.6840898,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
354,"Vasant oasis","Uttar Pradesh",mumbai,India,"Borosil Plot,off, Makwana Rd, Marol, Andheri East, Mumbai, Maharashtra",6,19.1146146,72.8840941,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
355,"NMR Enclave","Uttar Pradesh",bengaluru,India,"7/22, NMR enclave, Ejipura main Road , Near Ejipura signal",6,12.942047,77.631059,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
356,"Cafe Labasa Goa",Uttarakhand,goa,India,"590/III-A, Caramorod, Chinchinim, Goa",6,15.2251264,73.9795328,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
357,"The Coffee Stories","Andhra pradesh",pune,India,"2, Meher classic, shop no:2, opp N.K.Ashiyana society, Marketyard, pune, near unity bakers, Pune, Maharashtra",6,18.4879225398295,73.8727627039089,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
358,"Sulaimani Club, Kottakkal","Tamil Nadu",malappuram,India,"XXMX+J2F, Palathara, Kerala",6,10.9841315056431,75.997859110154,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
359,"Shree Purohit Thali",Kerala,nashik,India,"bus stop, Andhashala, Nashik - Pune Rd, Nashik, Maharashtra",6,19.9615119,73.8272912,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
360,"Morning Star Car Accessories",Karnataka,goa,India,"Jackni Vaddo, Parra, Goa",6,15.5706252229647,73.7915868619433,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
361,"Magenta, Hosur Road",Kerala,bengaluru,India,"Pattalama Layout, Hosur Rd, Singasandra",6,12.876703,77.646505,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
362,"OFFROAD, Motorcycle Accessories Shop",Kerala,trivandrum,India," Vazhayila - Kallayam Rd, Vazhayila, Padmanabha Nagar, Thiruvananthapuram, Kerala",6,8.5513563,76.9726234,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
363,"The Chocolate Room, Bangalore",Maharashtra,bengaluru,India,"No 412, 4th G Main Road, 2nd Block, HRBR Layout, Kalyan Nagar,",6,13.022915,77.639338,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
364,"AtherSpace Nagpur",Punjab,nagpur,India,"Ojas Building, Beside Batukbhai Jewellers, West High Court Road, Dharampeth",6,21.1393999805338,79.0604764831562,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
365,"Xavier Institute of Engineering",Rajasthan,mumbai,India,"Opposite S.L.Raheja Hospital, Mahim Causeway, Mahim (West), Raheja Hospital Marg, Mumbai, Maharashtra",6,19.0452082935871,72.8415417466136,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
366,"Purnima Sweet's",Goa,nashik,India,"Takli Rd, opp Vishwabharti society, Swanand Society, Dwarka, Nashik, Maharashtra",6,19.9962790389959,73.8033591842543,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
367,"CADD Centre, RK Salai",Goa,chennai,India,"Yellow Pages Building, 25, Dr Radha Krishnan Salai, Dwarka Colony, Mylapore",6,13.044485,80.268708,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
368,"Adyar Ananda Bhavan, Navakari | Zeon","Madhya Pradesh",coimbatore,India,"285, Palakkad main road, Navakarai",6,10.8556755,76.862332,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
369,"Lakshmi Pazhamudir And Supermarket",Maharashtra,coimbatore,India,"post Gas company, Mettupalayam Rd, Ranganayaki Nagar, Dhamu Nagar, Therkkuppalayam, Coimbatore, Tamil Nadu",6,11.138138477319,76.9407310322839,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
370,"Decathlon Bannerghatta",Karnataka,bengaluru,India,"Bannerghatta Main Rd, Kalena Agrahara",6,12.863595,77.590927,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
371,"MR Hyper Market, Wayanad Road",Maharashtra,calicut,India,"8V9M+CM3, Kozhikode, Kerala",6,11.3185163,75.8842814,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
372,"KR Journey Planners","Tamil Nadu",surat,India,"Beside Sahaj Super Store, Anand Mahal Rd, Honey Park, Adajan Gam, Adajan, Surat, Gujarat",6,21.1483732,72.7654739,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
373,"KR Journey","Tamil Nadu",surat,India,"p767, Ashwini Kumar Road, New GIDC",6,21.2126944261511,72.8451179602812,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
374,"Shiven Satellite Vision",Puducherry,goa,India,"City Plaza, Phase 2, Pedda, Margao, Goa",6,15.2697635073183,73.9549504486853,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
375,"Detailing Bull","Jammu & Kashmir",gurugram,India,"F7, Shushant Lok 2 Near Hong Kong Bazar, Sector 57, Gurugram, Haryana 122011",6,28.4195244,77.0885144,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
376,"SAR Motors",Rajasthan,guwahati,India,"Bora Commercial Complex, opposite ABC Compound, Nalapara, Lokhra, Assam",6,,,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
377,"R R Sales","Madhya Pradesh",guwahati,India,"Saraf Building, Near Police Reserve RLY gate, no 2, Assam Trunk Rd, Guwahati, Assam",6,26.1763362,91.7404708,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
378,"Vishnu Tradex, Shreekunj Elegance",Delhi,ahmedabad,India,"2 SHREEKUNJ ELIGANCE, near SAHAJ PARADISE BANGLOW, Ahmedabad, Gujarat",6,23.0735526,72.520875,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
379,"Naksh Auto World",Maharashtra,ghaziabad,India,"Maharaja Agarsain Marg, Mohan Meakin Society, Sector 5, Vasundhara, Ghaziabad, Uttar Pradesh 201012",6,28.6635603,77.3740057,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
380,"Royal Global University",Delhi,guwahati,India,"NH-37, opp. Tirupati Balaji Temple",6,26.112203,91.7241576,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
381,"Loom Solar Warehouse",Delhi,faridabad,India,"Plot No. 21, 1, Mathura Rd, Pocket 3, Rajiv Enclave, Sector 6, Faridabad, Haryana 121006",6,28.3520623,77.3007942,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
382,"Ather Space, Guwahati",Punjab,guwahati,India,"2nd Floor, JKON building, opp. Sonaram School, Bharalumukh",6,26.172606,91.7293442,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
383,"Guy Car  Steamer",Rajasthan,bengaluru,India,"No 60 Next to Sobha Classic 83-B Narayanareddy Layout, Haralur Main Rd",6,12.904089,77.662251,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
384,"AtherSpace Belgaum",Rajasthan,belgaum,India,"Bellad Enterprises, Vengurla - Belgaum Rd, Vinayak Nagar, Vijaynagar, Belagavi",6,15.868772,74.487863,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
385,"Ather Service Centre",Rajasthan,guwahati,India,"House No 20,Janapath Lane,Ulubari",6,26.170766,91.7608176,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
386,"Ather Space Vijayawada",Delhi,vijayawada,India,"KP Nagar Main Rd, Gurunanak Nagar, K P Nagar, Benz Circle, Vijayawada, Andhra Pradesh",6,16.5007264,80.6574292,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
387,"Turf Trident",Maharashtra,chennai,India,"56, Lakeview garden, Korattur",6,13.1221926,80.1890017,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
388,"Ather Space Tirupati",Maharashtra,tirupati,India,"Vedhavyasa Bhavan, AIR Bypass Road, Royal Nagar, Tirupati, Andhra Pradesh",6,13.6226445,79.414697,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
389,"Area 51 - The cafu00e9 hideout",Maharashtra,visakhapatnam,India,"Area 51- The cafu00e9 hideout, Hill view conventions, IT Sez,Hill No.2 Plot-F,on the way to Mouri tech, Andhra Pradesh",6,17.8083501,83.3888006,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
390,"Ather Space  Aurangabad",Maharashtra,aurangabad,India,"Gopinath Chambers, Adalat Rd, near Chunilal Petrol Pump, Konkanwadi, Aurangabad, Maharashtra",6,19.871912330989,75.3251880766865,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
391,"Ather space, Malappuram",Maharashtra,malappuram,India,"SH 72, Kizhakkethala, Down Hill, Malappuram, Kerala 676505",6,11.0522217,76.0753978,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
392,"Ather Space, Tirur","Tamil Nadu",tirur,India,"Pookkayil, Tirur, Kerala",6,10.9235812,75.9131205,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
393,"Ather Space Kolhapur",Kerala,kolhapur,India,"C.S. No. 195K/2K, Kavala Naka, E-Ward, Kolhapur",6,16.7075794321683,74.2510693844606,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
394,"AtherSpace Rajajinagar",Gujarat,bengaluru,India,"No. 0025 (Old no.1003), 59th C Cross, 4th M Block, Sriram Mandir, Dr.Rajkumar Road, Rajaji Nagar",6,12.982706,77.560699,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
395,"Radisson Resort, ECR","Andhra pradesh",chennai,India,ECR,6,12.6238102,80.1947665,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
396,"Nikshan Electronics",Telangana,kannur,India,"Nikshan Arena, Bank Rd, Padanapalam, Kannur, Kerala",6,11.868744605859,75.3660221268055,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
397,"E Planet, Thalassery","Andhra pradesh",kannur,India,"AVK Nair Road, Pilakool, Thalassery, Kerala",6,11.7455443615496,75.4950197030621,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
398,"Oyo Soho","Andhra pradesh",noida,India,"D-141, Block D, Sector 51, Noida, Uttar Pradesh 201301",6,28.58066,77.37497,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
399,"M R A Restaurant","Andhra pradesh",kannur,India,"Kasaragod - Kannur Rd, Trichambaram, Taliparamba, Kerala",6,12.0256266201313,75.367177336021,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
400,"AIMA Charging Station, Karinganad",Telangana,malappuram,India,"Karinganad, Vilayur PO, Pattambi Taluk",6,10.8878,76.189669,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
401,"Kekiz Malleswaram",Telangana,bengaluru,India,"No 280, Ira Arcade, 18th Cross, Sampige Road,  Malleswaram,",6,13.008305,77.571179,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
402,"Muthiah Towers",Telangana,tiruchirappalli,India,"Muthiah Towers, 1, Royal Rd, Cantonment, Tiruchirappalli, Tamil Nadu",6,10.799797,78.6807052,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
403,"Chai Point, Bellandur",Telangana,bengaluru,India,"4, Marathahalli - Sarjapur Outer Ring Rd, Koramangala 6 Block, Bellandur",6,12.922427,77.668422,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
404,"HOTEL REDWINGS CASTLE",Karnataka,mumbai,India,"Near to Orion Mall/ New Panvel Bridge, Old, Mumbai - Pune Expy,",6,18.9945351530371,73.1151324189656,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
405,"Radisson Bengaluru City Center",Delhi,bengaluru,India,"2, Gangadhar Chetty Rd, Yellappa Chetty Layout, Sivanchetti Gardens, Halasuru",6,12.976339,77.619717,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
406,"Ather Space - Dehradun",Delhi,dehradun,India,"56, Rajpur Rd, near Hotel Madhuban, IAS Officers Colony, Kairwaan Gaon, Dehradun, Uttarakhand 248009, India",6,30.3382561,8.0584541,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
407,Mealodroma,Delhi,delhi,India,"A6, 110027, Najafgarh Rd, Vishal Enclave, Rajouri Garden, Delhi, 110027",6,28.6486023,77.1147014,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
408,"Hotel Om Navratna",Delhi,mumbai,India,"1/766, Old Mumbai Pune Highway, Near Agarwal Movers & Packers Ltd, at post Chouk",6,18.9014249045997,73.2365788533079,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
409,"Ather Space Mangalore",Punjab,mangalore,India,"No 3-30-2399/2, Pound Graden, Kadri Road,  Behind City Hospital",6,12.8785935,74.8513216,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
410,"Ather Space Kannur",Punjab,kannur,India,"Crux Mobility Pvt Ltd, City Tower, Near Har Cars",6,11.874322,75.3872,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
411,"Ather Space, Thrissur",Karnataka,trichur,India,"Autostarke Energy Pvt Ltd, 14/3 A1, Puzhakkal",6,10.54281,76.184562,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
412,"Hitech Motors",Maharashtra,tirupati,India,"Kanigiri - Tirupathi Rd, SV Auto Nagar, Tirupati, Andhra Pradesh",6,13.6292765,79.4619883,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
413,"Ather Space, Palakkad",Jharkhand,palakkad,India,"KVR Green Energy Pvt Ltd , TS2 Ventures , Mercy College Junction",6,10.770167,76.637861,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
414,"Cashew Tree",Odisha,goa,India,"Vaddy, Candolim, Candolim, Goa",6,15.5162506,73.7684465,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
415,"MMA Matrix Gym","West Bengal",kolhapur,India,"MMA Matrix Gym, 1st Floor, Desai House, 7th Ln,",6,16.6936726519418,74.2410299261698,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
416,"Akki's Bistro","Andhra pradesh",kolhapur,India,"CS No 1082, Chandrameela Building, Near Krishna temple, Mohite park, Kolhapur, Maharashtra 416012",6,16.6856931,74.2084223,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
417,"Roy ka rasoi",Chhattisgarh,siliguri,India,"Netaji Subhas Road, Ward 20, Subhas Pally, Siliguri, West Bengal",6,26.7055489,88.4380447,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
418,"Hotel Kuppana",Delhi,tirupati,India,"5th Cross Rd, Tirumala Reddy Nagar, Mangalam, Tirupati, Andhra Pradesh 517507",6,13.648073,79.446494,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
419,"Guru Sweets & Snacks",Punjab,siliguri,India,"Khaprail Bazar Near R.P Trading, Khopalasi, West Bengal",6,26.7618706,88.3388182,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
420,"Hotel Rasraj Parking Zone",Maharashtra,mumbai,India,"Gaurav Automobile Compound, ,Ramnath Rd, opp. BVM Multiplex,",6,18.6509966955593,72.8740709203267,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
421,"Crazy Coffee",Maharashtra,jaipur,India,"Shop no. 9, Vardhman Nagar, near PUNO 200ft By Pass, Ajmer Rd, Jaipur",6,26.8838799908114,75.7397918152921,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
422,"Sultan of Flavours Restaurant",Maharashtra,palakkad,India,"Stadium Bypass Rd, Sultanpet, Palakkad",6,10.7672515526727,76.6603123172791,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
423,"Kalanthans Cafe",Maharashtra,kochi,India,"Palarivattom, Kochi",6,10.0026011738437,76.3040071197043,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
424,"Devaragam Hotel",Maharashtra,trichur,India,"Outer Ring Road, Opp Railway Station, East Nada, Guruvayur",6,10.595564727206,76.0443370352623,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
425,"Ather Space Thane",Rajasthan,mumbai,India,"Shop No. 4, Mansarovar, Opp. TMC Building, Almeda Rd,",6,19.1981177009338,72.9674150562047,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
426,"Irani Chai",Delhi,bengaluru,India,"294, 15th Cross Rd, Sector 4, HSR Layout, Bengaluru",6,12.91371,77.644164,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
427,"BESCOM,  KR Circle",Karnataka,bengaluru,India,"KR circle, Nrupathunga Road, Nunegundlapalli,  Ambedkar Veedhi, Bengaluru",6,12.9757032,77.5877251,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
428,"Ather Space, Kollam","Tamil Nadu",kollam,India,"Raj Plaza Building, Kilikkolloor P.O, Kollam",6,8.89921411695274,76.6129967442303,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
429,"Naattarasan, Urapakkam",Kerala,chennai,India,"No: 245, GST Road, Opp to Indian Oil Bunk, Urapakkam, Chennai, Tamil Nadu",6,12.8570595,80.0694857,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
430,"Hungry Hippo",Kerala,visakhapatnam,India,"50-49-43/A, TPT Colony, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",6,17.7407038627437,83.311685815344,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
431,"F3 Drive-in",Kerala,hyderabad,India,"near Fusion International School, Ameenpur, Miyapur, Telangana",6,17.5173192,78.3188293,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
432,"IOCL - COCO Niti Marg, Chanakyapuri",Delhi,Delhi,India,"Niti Marg, ChanakyaPuri, New Delhi-110021",7,28.599629,77.195806,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
433,"SNEH DHABA, NH 1 Ganaur",Haryana,Ganaur,India,"64th Milestone, NH-1, Ganaur, Sonipat, Haryana 131101",7,29.157569,77.035833,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
434,"Sara Automobile, Dobhi",Bihar,Gaya,India,"Sara Automobile Pvt Ltd, Eicher agency,NH-2  Opp:  Punjab National Bank, Suramandal near check post, Dobhi,  Gaya  PIN u00e2u0080u0093 824201",7,24.525355,84.932182,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
435,"GUGNANI AUTOCARS, Pratap Nagari",Odisha,Cuttack,India,"PLOT NO- 785, PRATAP NAGARI, CUTTACK. State: ODISHA, Pin: 753011",7,20.40517,85.879782,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
436,"Varenyam Motor Car, Industrial Area","Madhya Pradesh",Bhopal,India,"56-57 JK Road Govindpura, Sector A, Govindpura Industrial Area, Bhopal, Madhya Pradesh 462023",7,23.259006,77.456769,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
437,"Jaika Motors, Civil Lines",Maharashtra,Nagpur,India,"Jaika Motors Pvt Ltd.Post Box No.1 Commercial Road Civil Lines Nagpur 440001",7,21.155667,79.078708,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
438,"IOCL Kini Causway, Bandra",Maharashtra,Mumbai,India,"36, SV Rd, Santosh Nagar, Bandra West, Mumbai, Maharashtra 400050",7,19.051601,72.838011,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
439,"IOCL Hundred Percent Filling & Service Station, Dwarka",Delhi,Delhi,India,"Sector 9, Dwarka, New Delhi, Delhi 110073",7,28.578641,77.05962,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
440,"Adisakti Motors, Davangere",Karnataka,Davangere,India,"No 628/K24, Shramajeevi Building, PB Rd, beside Aradhya Steel Wire Ropes, Avaragere, Davanagere, Karnataka 577003",7,14.441957,75.95206,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
441,"True Sai Motors, Avaragere","Tamil Nadu",Krishnagiri,India,"No 417A/1A Krishnagiri Chennai Highway, Pethanapalli, opposite to Hotel, Krishnagiri, Tamil Nadu 635001",7,12.5306064,78.2375165,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
442,"True Sai Motors, Narasothipatti","Tamil Nadu",Salem,India,"No 73 Salem, Omalur Highway, next to Hotel Grand Estancia, Narasothipatti, Salem, Tamil Nadu 636004,636001",7,11.682985,78.1260402,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
443,"Vikarsh Nano technology, Dhangarwadi",Maharashtra,Satara,India,"Vikarsh Nano technology & Alloys pvt ltd, Gat No 273&274, Dhangarwadi village Tal- Khandala, Shirwal Dist- Satara 412801",7,18.11289,73.98985,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
444,"SR Tranzcars, Saibaba Koil","Tamil Nadu",Coimbatore,India,"1142-A, Mettupalayam Rd, Saibaba Koil, Coimbatore, Tamil Nadu 641043",7,11.022849,76.951635,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
445,"Lakshmi Motors, Ambattur","Tamil Nadu",Chennai,India,"#79, 80,81, NEAR WAVIN BUS STOP, Ambattur Industrial Estate, Chennai, Tamil Nadu 600058",7,13.0883447,80.1704698,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
446,"Lakshmi Motors, Velachery","Tamil Nadu",Chennai,India,"No 42, Velachery Main Rd, Guindy National Park, Guindy, Chennai, Tamil Nadu 600032",7,13.0080236,80.22165,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
447,"Lilium Park, SH 44",Maharashtra,Ahmednagar,India,"Hotel Lilium Park State Highway 44, Opp. Lemon Tree Hotel, Ahmednagar, Maharashtra 414106",7,19.26433634,74.82719974,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
448,"Oberai Motors,  ISBT Rd",Uttarakhand,Dehradun,India,"Near, ISBT Chowk, Shimla Bypass Rd, Majra, Dehradun, Uttarakhand 248001",7,30.289739,77.998788,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
449,"Ashok Auto Sales, Civil Lines","Uttar Pradesh",Agra,India,"119-120/8, Sanjay Palace, Sanjay Place, Civil Lines, Agra, Uttar Pradesh 282002",7,27.200798,78.008796,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
450,"IOCL - MC2, Industrial Area II",Punjab,Chandigarh,India,"Indian OIL - MC 2 , Industrial area Phase-II MC Site, CHANDIGARH TOZIRAKPUR ROAD AT INDUSTRIAL AREA, PHASE-II, CHANDIGARH (U.T.), Chandigarh, PIN: 160002",7,30.69649,76.79662,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
451,"IOCL - COCO WRD, Agarkar Nagar",Maharashtra,Pune,India,"Agarkar Nagar, Pune, Maharashtra 411001",7,18.5269679,73.8655123,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
452,"KVR Dream vehicles, Vidya Nagar",Kerala,Kasargod,India,"Panalam Nayamar Moola, Alampady Manya Road, Vidya Nagar, PO, Kasaragod, Kerala 671123",7,12.51382323,75.02713173,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
453,"Sree Auto, BH Road Tumakuru",Karnataka,Tumakuru,India,"No 1 BH Road Near Gubbi, Gate, Tumakuru, Karnataka 572107",7,13.344796,77.080192,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
454,"IOCL COCO Chengampalli, Salem-Kochi Highway","Tamil Nadu",Chengampalli,India,"Salem - Kochi Hwy, Vadamugam Kangayapalayam, Tamil Nadu 638812",7,11.213022,77.441968,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
455,"Hotel Vididhi, Kothagudam",Telangana,Madgulapally,India,"Survey No. 173/2, 174/6, State Highway 2 NAM Expressway, Miryalaguda Highway Near Madugulapally Toll Plaza Kothagudam, Village, Madgulapally, Telangana 508247",7,16.991031,79.44047,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
456,"Select Cars, Hyderabad Rd - Kothirampur",Telangana,Karimnagar,India,"No 8-6-396, Hyderabad Rd, Kothirampur, Karimnagar, Telangana 505001",7,18.417928,79.13639,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
457,"MIDAS, Muzzafarnagar","Uttar Pradesh",Muzaffarnagar,India,"PLOT NO. 77-1 Delhi - Haridwar, Bypass, Hwy, Muzaffarnagar, Uttar Pradesh 251001",7,29.4585464,77.7397628,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
458,"MIDAS Auto, Industrial Area",Uttarakhand,Haridwar,India,"No E17 Old, Industrial Area, Haridwar, Uttarakhand 249401",7,29.942456,78.144234,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
459,"Basudeb Auto Limited, Shanti Nagar",Jharkhand,Ranchi,India,"Basudeb Auto, Shanti Nagar, Plot No 11, Kokar Industrial Area, Shanti Nagar, Ranchi, Jharkhand 834001",7,23.371302,85.350737,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
460,"Matsya Amazon Kitchens, Kurnool Rd","Andhra pradesh",Kurnool,India,"NH 44; Bangalore - Hyderabad  highway, Kurnool Rd, Andhra Pradesh 518216",7,15.576915,77.93704,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
461,"Utkarsh Mototech, Assam Trunk Rd",Assam,Guwahati,India,"Kamakhya Gate, Swastik Ayodhya Complex, Assam Trunk Rd, Guwahati, Assam 781009",7,26.164406,91.715516,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
462,"Hotel Grand Leela Krishna, Bhimavaram","Madhya Pradesh",Bhimavaram,India,"Undi Rd, Balusumoodi, Bhimavaram, Andhra Pradesh 534202",7,16.5451748,81.5199403,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
463,"Jadhav Solar & Automotives, Badnera",Maharashtra,"Amravati, MH",India,"Jadhav Solar & Automotives Pvt.  Ltd., Jadhav E-Vehicles, Ground floor, Rangoli Pearl Hotel, Nawathe Square, Badnera Road, Amravati, MH- 444607",7,20.909443,77.7522447,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
464,"IOCL - SUJIT AUTOMOBILES, Bangalore-Kanyakumari Road",Maharashtra,Butibori,India,"Bangalore - Salem - Madurai - Kanyakumari Road, Butibori, Maharashtra 441108",7,20.92258656,78.99986387,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
465,"Tata Steel Car Parking, Northern Town",Jharkhand,Jamshedpur,India,"Northern Town, Jamshedpur, Jharkhand 831001",7,22.800099,86.188305,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
466,"Sakchi - Parking, Basant Central",Jharkhand,Jamshedpur,India,"Sakchi, Jamshedpur, Jharkhand 831001",7,22.802611,86.203633,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
467,"Ambagan - Parking, Jubliee Park gate",Jharkhand,Jamshedpur,India,"Ambagan, Sakchi, Jamshedpur, Jharkhand - 831001",7,22.808483,86.198276,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
